"INDICATOR:","UNIT:","Status of indicator (existing, proposed).","Availability of data: Indicator/Signal/Potential","Qualitative indicator","Boolean indicator (yes/No)","Quantitative indicator","Temporal","Geographic","Recent year","EU","National","Regional/Cities","Products /  Companies","Description of the indicator/signal/potential","Methodological considerations","Required methodology","Headline","Societal Goals","Environmental","Economic","Social","Circularity","Agriculture","Forestry","Acquaculture","Secondary production systems","Waste and Circularity","Ecosystem conditions","Trade","Primary sectors","Stock","Processing/Manufacturing services","Users","Disposal/Cascading/Recycling/Reusing","Whole chain","SDG 1: No poverty","SDG 2: Zero hunger","SDG 3: Good health and well being","SDG 4: Quality education","SDG 5: Gender equality","SDG 6: Clean water and sanitation","SDG 7: Affordable and clean energy","SDG 8: Decent work and economic growth","SDG 9: Industry, innovation and infrastructure","SDG 10: Reduced inequalities","SDG 11: Sustainable cities and communities","SDG 12: Responsible consumption and production","SDG 13: Climate action","SDG 14: Life below water","SDG 15: Life on land","SDG 16: Peace, justice, and strong institutions","SDG 17: Partnerships for the goals","Source","Link to reference","Link to data"
"Subsidies other cattle","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"All farm subsidies received for cattle other than dairy cows in production, e.g. premiums for young male cattle, premiums for suckler cows, aid under Art 68. etc.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Subsidies sheep & goats","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"In addition to the ewe (and goat) premiums, includes any subsidies on sheep/goat milk products.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Other livestock subsidies","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"All other farm subsidies on other livestock or livestock products including aid under Art 68. It can exceptionally include the amounts for any one of the preceding categories - milk, beef/veal, sheep/goats - where such amounts cannot be entered under these categories because of a lack of detailed information.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total support for rural development","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"= Environmental subsidies+ LFA/ANC subsidies + other Rural Development payments including RD national payments. In €.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Environmental subsidies","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Subsidies on environment (caution to avoid double-counting of DP under Art 69 of 1782/2003) + Subsidies on environmental restrictions.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"LFA subsidies","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Subsidies for Less Favourite Areas (LFA) / areas facing natural or other specific constraints (such as ANC).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Other rural development payments","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Support to help farmers to adapt to standards, to use farm advisory services, to improve the quality of agricultural products, training, afforestation and ecological stability of forests.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Subsidies on intermediate consumption","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"All farm subsidies on intermediate consumption. Subsidies on wages, rent, taxes and interest are to be excluded.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Subsidies on external factors","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Subsidies on wages, rent and interests.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Decoupled payments","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Single farm payment and single area payment scheme. Additional aid included. SE640 - Additional aid included only up to 2010.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Single Farm Payment and Basic Payment Scheme","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Single Farm Payment for old Member States and Croatia, Malta and Slovenia. Basic payment scheme from 2015.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Single Area payment","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Scheme only for new Member States; not chosen by Croatia, Malta and Slovenia.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Additional aid","€","Existing","Indicator",NA,NA,"x","2004-2010","EU",2010,"x","x","x",NA,"Amount resulting from the application of modulation to the first EUR 5000 or less of direct payments. Only up to 2010.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Other subsidies","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Other subsidies received including grants and subsidies for disasters or extraordinary subsidies (agri-monetary compensation, etc.).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Balance current subsidies and taxes","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Subsidies and taxes arising from current productive activity in the accounting year. Balance of subsidies and taxes on current operations.
'=farm subsidies + VAT balance on current operations – farm taxes
","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Taxes","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Farm taxes and other dues (not including VAT and the personal taxes of the holder) and taxes and other charges on land and buildings.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Balance subsidies and taxes on investment","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Subsidies and taxes not arising from current productive activity in the accounting year.
'=subsidies on investments + premiums for the cessation of dairy farming – VAT","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Subsidies on investments","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"The amount of subsidies on investments allocated to the accounting year. Before 2014 not fully consistent among countries. Not all subsidies on investments under the Rural Development can be isolated (e.g. subsidies on forestry are included under M_3600/3610, itself included under SE623, therefore covered under SE605 and included in turn under SE600).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Subsidies on agricultural investments","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Subsidies on agricultural investment received during the accounting year","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Payments to dairy outgoers","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"This premium may be received in the form of a lump sum or be spread over several years.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Gross Farm Income","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Output
- Intermediate consumption
+ Balance current subsidies & taxes.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Farm Net Value Added","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Remuneration to the fixed factors of production (work, land and capital), whether they be external or family factors. As a result, holdings can be compared irrespective of their family/non-family nature of the factors of production employed. This indicator is sensitive, however, to the production methods employed: the ratio (intermediate consumption + depreciation)/fixed factors may vary and therefore influence the FNVA level. For example, in the livestock sector, if production is mostly without the use of land (purchased feed) or extensive (purchase and renting of forage land). SE415 is a weighted mean (average) calculated as a [sum of sample farm incomes x sample farm weights] / [sum of sample farm weights].","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Farm Net Value Added - MEDIAN","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Median value of Farm Net Value Added by farm (SE415). Half of the represented population of farms has the income lower than the median and half higher than the median. Calculated only for at least 30 sample farms.
SE415M, a weighted median for SE415, splits into halves the represented population farms ordered by value of their income indicator SE415:","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Farm Net Income","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Remuneration to fixed factors of production of the family (work, land and capital) and remuneration to the entrepreneur's risks (loss/profit) in the accounting year.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
