INDICATOR:;UNIT:;Status of indicator (existing, proposed).;Availability of data: Indicator/Signal/Potential;Qualitative indicator;Boolean indicator (yes/No);Quantitative indicator;Temporal;Geographic;Recent year;EU;National;Regional/Cities;Products /  Companies;Methodological considerations;Required methodology;Headline;Societal Goals;Environmental;Economic;Social;Circularity;Agriculture;Forestry;Acquaculture;Secondary production systems;Waste and Circularity;Ecosystem conditions;Trade;Primary sectors;Stock;Processing/Manufacturing services;Users;Disposal/Cascading/Recycling/Reusing;Whole chain;SDG 1: No poverty;SDG 2: Zero hunger;SDG 3: Good health and well being;SDG 4: Quality education;SDG 5: Gender equality;SDG 6: Clean water and sanitation;SDG 7: Affordable and clean energy;SDG 8: Decent work and economic growth;SDG 9: Industry, innovation and infrastructure;SDG 10: Reduced inequalities;SDG 11: Sustainable cities and communities;SDG 12: Responsible consumption and production;SDG 13: Climate action;SDG 14: Life below water;SDG 15: Life on land;SDG 16: Peace, justice, and strong institutions;SDG 17: Partnerships for the goals;Source;Link to reference;Link to data
Subsidies sheep & goats;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other livestock subsidies;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total support for rural development;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Environmental subsidies;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
LFA subsidies;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other rural development payments;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Subsidies on intermediate consumption;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Subsidies on external factors;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Decoupled payments;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Single Farm Payment and Basic Payment Scheme;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Single Area payment;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Additional aid;€;Existing;Indicator;;;x;2004-2010;EU;2010;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other subsidies;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Balance current subsidies and taxes;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Taxes;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Balance subsidies and taxes on investment;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Subsidies on investments;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Subsidies on agricultural investments;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Payments to dairy outgoers;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Gross Farm Income;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farm Net Value Added;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farm Net Value Added - MEDIAN;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farm Net Income;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farm Net Value Added / AWU;€/ AWU;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farm Net Value Added / AWU - MEDIAN;€/ AWU;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Family Farm Income / FWU;€/ FWU;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total assets closing valuation;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total assets, opening valuation;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total fixed assets;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Land, permanent crops and quotas;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Agricultural land;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Forest land including standing timber;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farm buildings;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
